Real,Imaginary
0.249281, 0.132328
0.256147, 0.152759
0.250840, 0.159117
0.235182, 0.149222
0.223682, 0.134444
0.227222, 0.125476
0.240957, 0.122071
0.250458, 0.118362
0.248350, 0.114607
0.241528, 0.118322
0.241140, 0.132661
0.248875, 0.148041
0.257010, 0.150293
0.261130, 0.137445
0.267220, 0.124337
0.281916, 0.127254
0.298188, 0.145094
0.297913, 0.159381
0.272960, 0.154200
0.240259, 0.133602
0.228547, 0.116527
0.247161, 0.115502
0.272630, 0.124086
0.272650, 0.126949
0.243541, 0.119140
0.217290, 0.110841
0.226152, 0.112839
0.263447, 0.122309
0.288283, 0.127647
0.273260, 0.125800
0.240826, 0.127867
0.240946, 0.142474
0.288797, 0.156387
0.333353, 0.140275
0.301281, 0.080364
0.177876, 0.003336
0.038332, -0.037361
-0.012119, -0.006814
0.064952, 0.077308
0.204522, 0.157159
0.299646, 0.183313
0.298851, 0.153481
0.242626, 0.106472
0.208947, 0.081825
0.231794, 0.086970
0.277357, 0.100701
0.293468, 0.102216
0.269519, 0.092098
0.241499, 0.086287
0.244844, 0.095300
0.274663, 0.113693
0.296725, 0.128793
0.289648, 0.135223
0.265717, 0.138051
0.249619, 0.143287
0.246943, 0.149077
0.242814, 0.148113
0.228791, 0.137436
0.219275, 0.123501
0.233671, 0.116614
0.267155, 0.120755
0.290370, 0.129305
0.282810, 0.130877
0.259845, 0.120029
0.257040, 0.103550
0.286628, 0.096360
0.318232, 0.108770
0.311035, 0.134499
0.263394, 0.151281
0.220684, 0.138440
0.226419, 0.100384
0.267865, 0.073797
0.279141, 0.104381
0.205288, 0.205650
0.063790, 0.335104
-0.060804, 0.415631
-0.086450, 0.391941
-0.001068, 0.276210
0.133307, 0.141171
0.236860, 0.063881
0.271938, 0.068442
0.256596, 0.116684
0.232722, 0.150618
0.227890, 0.143678
0.242741, 0.114661
0.262832, 0.098765
0.274541, 0.110688
0.272080, 0.135738
0.257561, 0.150820
0.239156, 0.147629
0.226686, 0.134704
0.224120, 0.122451
0.225422, 0.112223
0.220804, 0.100433
0.208926, 0.088181
0.200780, 0.081946
0.208387, 0.085076
0.230059, 0.092737
0.250277, 0.097739
0.255872, 0.099383
0.249665, 0.102999
0.244752, 0.110562
0.246583, 0.115610
0.246243, 0.110933
0.234570, 0.100121
0.218659, 0.096761
0.216510, 0.109213
0.233055, 0.128262
0.248403, 0.134546
0.238892, 0.120119
0.210279, 0.099692
0.200050, 0.096263
0.236240, 0.115047
0.294223, 0.135412
0.306164, 0.132491
0.225760, 0.106430
0.085798, 0.086136
-0.016890, 0.100478
-0.003583, 0.146015
0.114782, 0.186266
0.248264, 0.185400
0.310316, 0.142842
0.289635, 0.093819
0.243684, 0.075819
0.229608, 0.095102
0.249700, 0.125415
0.264286, 0.136964
0.247342, 0.124341
0.217342, 0.106763
0.211442, 0.104566
0.238775, 0.118604
0.269536, 0.132406
0.270628, 0.131355
0.243527, 0.117264
0.219986, 0.104718
0.223040, 0.105717
0.240975, 0.119243
0.244116, 0.134497
0.222274, 0.141872
0.197302, 0.139954
0.196703, 0.133368
0.221015, 0.126117
0.243955, 0.118092
0.244032, 0.107513
0.229110, 0.095664
0.225017, 0.088302
0.242923, 0.091613
0.265074, 0.105908
0.265751, 0.123089
0.242173, 0.131589
0.218666, 0.125968
0.219284, 0.112857
0.240856, 0.106398
0.257230, 0.115495
0.249125, 0.134240
0.225357, 0.145867
0.212463, 0.138199
0.225843, 0.116133
0.254623, 0.098042
0.274734, 0.098528
0.273224, 0.114459
0.257516, 0.128653
0.243405, 0.127529
0.238861, 0.114364
0.241083, 0.104601
0.245341, 0.109001
0.251223, 0.123073
0.259062, 0.133405
0.264479, 0.132423
0.261351, 0.124645
0.250804, 0.118781
0.243681, 0.116946
0.250614, 0.114602
0.269488, 0.110181
0.285164, 0.110342
0.283451, 0.122144
0.265189, 0.141102
0.245639, 0.151679
0.239910, 0.143156
0.249471, 0.123845
0.262585, 0.115277
0.266596, 0.129536
0.259058, 0.153839
0.248057, 0.161311
0.243645, 0.138861
0.249359, 0.102774
0.260198, 0.084109
0.266875, 0.098130
0.262454, 0.129738
0.247462, 0.149952
0.230463, 0.145184
0.222693, 0.128099
0.229308, 0.120178
0.244218, 0.127278
0.254446, 0.135539
0.251556, 0.130239
0.239491, 0.113946
0.230283, 0.102681
0.231472, 0.105813
0.238616, 0.114691
0.241334, 0.113877
0.236061, 0.101093
0.230538, 0.091178
0.234353, 0.098515
0.246539, 0.118721
0.255508, 0.132027
0.252296, 0.125172
0.241654, 0.106276
0.237033, 0.095025
0.244468, 0.099926
0.254527, 0.109975
0.252946, 0.110616
0.238186, 0.103715
0.224542, 0.105457
0.225621, 0.123284
0.237173, 0.141023
0.241028, 0.134544
0.227731, 0.103252
0.211319, 0.078747
0.215494, 0.093299
0.242977, 0.137950
0.262981, 0.159276
0.236645, 0.107849
0.159314, -0.005665
0.075749, -0.106582
0.047384, -0.116196
0.098776, -0.022086
0.194071, 0.109051
0.267211, 0.189502
0.277980, 0.184318
0.241676, 0.132195
0.207231, 0.099073
0.208626, 0.114874
0.237311, 0.154140
0.258455, 0.171685
0.249552, 0.149982
0.221230, 0.110761
0.202700, 0.086698
0.211037, 0.089305
0.236547, 0.105503
0.255942, 0.118839
0.255972, 0.126394
0.242784, 0.133989
0.230774, 0.141348
0.226354, 0.139161
0.224318, 0.121869
0.218033, 0.098540
0.209540, 0.086386
0.207714, 0.093392
0.217376, 0.110345
0.232339, 0.121381
0.240424, 0.120306
0.235227, 0.114110
0.222548, 0.111535
0.215306, 0.112368
0.222159, 0.110507
0.240359, 0.105246
0.258458, 0.104597
0.265602, 0.115237
0.259466, 0.131927
0.247225, 0.141169
0.239617, 0.136273
0.242736, 0.125636
0.253273, 0.122969
0.260703, 0.130159
0.255266, 0.133671
0.235904, 0.120254
0.211439, 0.094227
0.193372, 0.075297
0.186401, 0.077804
0.185672, 0.094523
0.183607, 0.104007
0.179141, 0.093968
0.179079, 0.074669
0.189511, 0.067470
0.206818, 0.081642
0.219317, 0.105357
0.219116, 0.119903
0.211307, 0.119916
0.209180, 0.116823
0.219506, 0.123236
0.234199, 0.137742
0.238809, 0.147440
0.229327, 0.143663
0.218108, 0.131436
0.221012, 0.122265
0.239515, 0.120500
0.258558, 0.120373
0.263556, 0.116358
0.257220, 0.112584
0.255776, 0.118585
0.267916, 0.136274
0.281582, 0.154466
0.276416, 0.158473
0.249586, 0.144260
0.224258, 0.121521
0.227315, 0.103452
0.258817, 0.095910
0.288506, 0.097132
0.286528, 0.104540
0.255955, 0.117144
0.229790, 0.130666
0.233865, 0.135222
0.257144, 0.123633
0.264914, 0.102813
0.241627, 0.091938
0.213113, 0.103894
0.217940, 0.128187
0.256309, 0.136937
0.276377, 0.112427
0.222118, 0.068876
0.098310, 0.043297
-0.017725, 0.061509
-0.038051, 0.112742
0.056478, 0.158963
0.197365, 0.169664
0.289632, 0.147272
0.293263, 0.119560
0.247362, 0.110301
0.219856, 0.119551
0.239243, 0.130688
0.276226, 0.131386
0.285419, 0.124032
0.256031, 0.117599
0.218614, 0.115182
0.207723, 0.113140
0.226055, 0.110154
0.247297, 0.111569
0.248532, 0.122008
0.233252, 0.136291
0.222348, 0.142259
0.228506, 0.134153
0.244459, 0.120723
0.254825, 0.117098
0.253601, 0.128617
0.246984, 0.144890
0.242350, 0.150975
0.240066, 0.142960
0.237431, 0.130731
0.236193, 0.126030
0.241278, 0.130332
0.252267, 0.135576
0.260813, 0.134740
0.259933, 0.128814
0.254262, 0.123456
0.256661, 0.122039
0.272687, 0.124353
0.290968, 0.130212
0.292790, 0.139901
0.272179, 0.149390
0.244212, 0.148833
0.231270, 0.131209
0.241389, 0.103643
0.261691, 0.085771
0.273001, 0.091875
0.268878, 0.114406
0.259053, 0.129446
0.256079, 0.121525
0.261933, 0.101064
0.268760, 0.092975
0.270105, 0.107478
0.267990, 0.127048
0.268517, 0.126939
0.273103, 0.106841
0.276245, 0.094701
0.271212, 0.114015
0.256047, 0.150957
0.234370, 0.163433
0.213241, 0.128232
0.201904, 0.074367
0.209385, 0.058781
0.237044, 0.102850
0.270354, 0.157760
0.282007, 0.144089
0.251418, 0.033402
0.186633, -0.110965
0.125330, -0.181690
0.107840, -0.122697
0.143804, 0.020040
0.204192, 0.141645
0.247471, 0.172133
0.254780, 0.129733
0.240364, 0.087497
0.230079, 0.094859
0.233713, 0.135406
0.240347, 0.156870
0.237625, 0.132734
0.229095, 0.088093
0.228787, 0.067822
0.241333, 0.087755
0.253615, 0.122241
0.249308, 0.136529
0.229013, 0.124081
0.210960, 0.108695
