Real,Imaginary
0.009787, 0.096684
-0.020842, 0.126505
-0.055986, 0.154634
-0.058214, 0.161618
-0.017360, 0.135193
0.043433, 0.069431
0.090817, -0.026482
0.100549, -0.118725
0.055754, -0.158052
-0.054535, -0.109926
-0.212961, 0.017529
-0.349080, 0.173891
-0.363978, 0.297227
-0.212761, 0.350828
0.028496, 0.338077
0.200638, 0.288054
0.196582, 0.228044
0.067715, 0.166237
-0.020948, 0.096360
0.040008, 0.017335
0.182514, -0.051082
0.227376, -0.073242
0.083868, -0.023458
-0.128522, 0.086475
-0.181266, 0.203657
0.028344, 0.263710
0.351713, 0.234453
0.513839, 0.139138
0.370968, 0.039607
0.043093, -0.006795
-0.207419, 0.018045
-0.220154, 0.090211
-0.059211, 0.167023
0.087862, 0.213135
0.104340, 0.214173
0.029110, 0.179620
-0.026310, 0.140074
-0.006354, 0.134909
0.055794, 0.185956
0.106455, 0.270669
0.132769, 0.323466
0.145475, 0.278795
0.129865, 0.128833
0.051712, -0.055986
-0.080399, -0.170353
-0.186236, -0.150533
-0.178473, -0.019507
-0.060247, 0.136563
0.061904, 0.235867
0.079369, 0.252394
-0.008246, 0.214558
-0.097412, 0.166733
-0.095761, 0.135897
-0.018239, 0.126350
0.041528, 0.131623
0.024629, 0.143217
-0.030212, 0.152407
-0.043495, 0.154077
0.003983, 0.152898
0.050626, 0.159670
0.036370, 0.173906
-0.016995, 0.171358
-0.029105, 0.119378
0.038650, 0.014189
0.128464, -0.097764
0.146681, -0.145050
0.070784, -0.087486
-0.022900, 0.048555
-0.043933, 0.190561
0.012918, 0.275863
0.066337, 0.289945
0.042213, 0.257908
-0.046889, 0.210459
-0.121245, 0.164419
-0.119169, 0.128139
-0.047188, 0.108003
0.049377, 0.098454
0.140694, 0.072893
0.219516, 0.003223
0.266337, -0.100405
0.240480, -0.176636
0.127068, -0.157111
-0.018023, -0.033683
-0.098887, 0.123129
-0.070753, 0.222942
0.009764, 0.235500
0.043387, 0.207219
-0.001843, 0.197184
-0.055906, 0.207018
-0.033363, 0.187148
0.056841, 0.111975
0.111742, 0.030996
0.053484, 0.026084
-0.068899, 0.116475
-0.121788, 0.223190
-0.037148, 0.244889
0.097902, 0.168599
0.123281, 0.089742
-0.019966, 0.110755
-0.213885, 0.225102
-0.275799, 0.316699
-0.143301, 0.281005
0.065112, 0.138327
0.177231, 0.015272
0.142999, 0.013707
0.070746, 0.109339
0.091101, 0.187696
0.202773, 0.173351
0.269523, 0.108582
0.170109, 0.098801
-0.061305, 0.191228
-0.253394, 0.322692
-0.254871, 0.389280
-0.070654, 0.354575
0.152909, 0.277426
0.267110, 0.237717
0.242508, 0.251997
0.166032, 0.272435
0.137688, 0.258914
0.178277, 0.230653
0.227360, 0.235206
0.212099, 0.276430
0.109384, 0.294194
-0.048770, 0.227834
-0.211062, 0.094663
-0.338111, -0.008448
-0.407181, 0.009206
-0.405799, 0.144194
-0.335388, 0.298225
-0.221656, 0.364693
-0.110715, 0.316561
-0.043114, 0.215000
-0.026140, 0.141792
-0.032698, 0.128918
-0.030347, 0.148600
-0.012177, 0.158453
0.002035, 0.146115
-0.005386, 0.131386
-0.024359, 0.135300
-0.025435, 0.155899
0.004910, 0.173921
0.042453, 0.175218
0.046204, 0.162398
0.003899, 0.146237
-0.048675, 0.131962
-0.061567, 0.118124
-0.025516, 0.106849
0.013982, 0.108590
0.005398, 0.131236
-0.046368, 0.164760
-0.075350, 0.182629
-0.020708, 0.165336
0.103477, 0.124418
0.212654, 0.097925
0.230849, 0.114405
0.161800, 0.158868
